Degree	Compound	Degree	Compound	Degree	Compound	Degree	Compound	
79	Com_370	52	Com_GC74	44	Com_GC72	32	Com_7311	
68	Com_1549111	52	Com_72	43	Com_736186	32	Com_64971	
63	Com_323	52	Com_5282102	42	Com_GC23	29	Com_7826	
61	Com_HQ50	52	Com_51346141	41	Com_GC68	29	Com_5280460	
60	Com_HQ07	52	Com_HQ38	41	Com_19814101	29	Com_101341142	
58	Com_443639	52	Com_338	40	Com_21672692	29	Com_101341025	
58	Com_442154	52	Com_31405	39	Com_NBS03	28	Com_15226483	
57	Com_14704550	51	Com_9064	39	Com_BS46	28	Com_GC08	
57	Com_HQ37	50	Com_BS03	39	Com_64945	28	Com_157139	
56	Com_5280804	50	Com_BS22	38	Com_12310283	26	Com_7967	
55	Com_1549106	49	Com_11504083	36	Com_GC25	25	Com_HQ40	
55	Com_637542	49	Com_73659	36	Com_73398	25	Com_8468	
55	Com_BS02	49	Com_5318767	36	Com_GC07	23	Com_246728	
55	Com_1548883	49	Com_5280805	36	Com_5318188	23	Com_100633	
55	Com_HQ08	48	Com_10494	36	Com_GC44	23	Com_HQ51	
54	Com_GC71	48	Com_BS04	36	Com_10114	21	Com_136419	
53	Com_GC56	47	Com_BS33	34	Com_BS47			
53	Com_5481663	45	Com_GC76	33	Com_HQ52			
53	Com_12305517	45	Com_73299	33	Com_79197			
52	Com_31404	44	Com_1057	32	Com_3286789			
